Region_Index,Region_Name,Hemisphere,Region_Type
212,PIT,R,Cortex
213,MT,R,Cortex
214,A1,R,Cortex
215,PSL,R,Cortex
216,SFL,R,Cortex
217,PCV,R,Cortex
218,STV,R,Cortex
219,7Pm,R,Cortex
220,7m,R,Cortex
221,POS1,R,Cortex
222,23d,R,Cortex
223,v23ab,R,Cortex
224,d23ab,R,Cortex
225,31pv,R,Cortex
226,5m,R,Cortex
227,5mv,R,Cortex
228,23c,R,Cortex
229,5L,R,Cortex
230,24dd,R,Cortex
231,24dv,R,Cortex
232,7AL,R,Cortex
233,SCEF,R,Cortex
234,6ma,R,Cortex
235,7Am,R,Cortex
236,7Pl,R,Cortex
237,7PC,R,Cortex
238,LIPv,R,Cortex
239,VIP,R,Cortex
240,MIP,R,Cortex
241,1,R,Cortex
242,2,R,Cortex
243,3a,R,Cortex
244,6d,R,Cortex
245,6mp,R,Cortex
246,6v,R,Cortex
247,p24pr,R,Cortex
248,33pr,R,Cortex
249,a24pr,R,Cortex
250,p32pr,R,Cortex
251,a24,R,Cortex
252,d32,R,Cortex
253,8BM,R,Cortex
254,p32,R,Cortex
255,10r,R,Cortex
256,47m,R,Cortex
257,8Av,R,Cortex
258,8Ad,R,Cortex
259,9m,R,Cortex
260,8BL,R,Cortex
261,9p,R,Cortex
262,10d,R,Cortex
263,8C,R,Cortex
264,44,R,Cortex
265,45,R,Cortex
266,47l,R,Cortex
267,a47r,R,Cortex
268,6r,R,Cortex
269,IFJa,R,Cortex
270,IFJp,R,Cortex
271,IFSp,R,Cortex
272,IFSa,R,Cortex
273,"p9-
46v",R,Cortex
274,46,R,Cortex
275,"a9-
46v",R,Cortex
276,9-46d,R,Cortex
277,9a,R,Cortex
278,10v,R,Cortex
279,a10p,R,Cortex
280,10pp,R,Cortex
281,11l,R,Cortex
282,13l,R,Cortex
283,OFC,R,Cortex
284,47s,R,Cortex
285,LIPd,R,Cortex
286,6a,R,Cortex
287,i6-8,R,Cortex
288,s6-8,R,Cortex
289,43,R,Cortex
290,OP4,R,Cortex
291,OP1,R,Cortex
292,OP2-3,R,Cortex
293,52,R,Cortex
294,RI,R,Cortex
295,PFcm,R,Cortex
296,PoI2,R,Cortex
297,TA2,R,Cortex
298,FOP4,R,Cortex
299,MI,R,Cortex
300,Pir,R,Cortex
301,AVI,R,Cortex
302,AAIC,R,Cortex
