R_STGa_ROI,Brainy McBrainFace,Not
R_PBelt_ROI,Somatomotor,Not
R_A5_ROI,Somatomotor + Brainy McBrainFace,Overlapping
R_PHA1_ROI,Occipito-temporal + Brainy McBrainFace,Overlapping
R_PHA3_ROI,Brainy McBrainFace,Not
R_STSda_ROI,Brainy McBrainFace,Not
R_STSdp_ROI,Somatomotor,Not
R_STSvp_ROI,Somatomotor,Not
R_TGd_ROI,Brainy McBrainFace,Not
R_TE1a_ROI,Brainy McBrainFace,Not
R_TE1p_ROI,Ventral Prefrontal,Not
R_TE2a_ROI,Ventral Prefrontal,Not
R_TF_ROI,Brainy McBrainFace,Not
R_TE2p_ROI,Ventral Prefrontal,Not
R_PHT_ROI,Ventral Prefrontal,Not
R_PH_ROI,Brainy McBrainFace,Not
R_TPOJ1_ROI,Somatomotor,Not
R_TPOJ2_ROI,Ventral Prefrontal,Not
R_TPOJ3_ROI,Brainy McBrainFace,Not
R_DVT_ROI,Brainy McBrainFace,Not
R_PGp_ROI,Brainy McBrainFace,Not
R_IP2_ROI,Dorsal Prefrontal,Not
R_IP1_ROI,Dorsal Prefrontal,Not
R_IP0_ROI,Brainy McBrainFace,Not
R_PFop_ROI,Dorsal Prefrontal,Not
R_PF_ROI,Dorsal Prefrontal,Not
R_PFm_ROI,Dorsal Prefrontal + Ventral Prefrontal,Overlapping
R_PGi_ROI,Ventral Prefrontal,Not
R_PGs_ROI,Ventral Prefrontal + Brainy McBrainFace,Overlapping
R_V6A_ROI,Brainy McBrainFace,Not
R_VMV1_ROI,Brainy McBrainFace,Not
R_VMV3_ROI,Brainy McBrainFace,Not
R_PHA2_ROI,Brainy McBrainFace,Not
R_V4t_ROI,Brainy McBrainFace,Not
R_FST_ROI,Brainy McBrainFace,Not
R_V3CD_ROI,Brainy McBrainFace,Not
R_LO3_ROI,Brainy McBrainFace,Not
R_VMV2_ROI,Brainy McBrainFace,Not
R_31pd_ROI,Occipito-temporal,Not
R_31a_ROI,Occipito-temporal,Not
R_VVC_ROI,Brainy McBrainFace,Not
R_25_ROI,Occipito-temporal,Not
R_s32_ROI,Auditory,Not
R_pOFC_ROI,Brainy McBrainFace,Not
R_PoI1_ROI,Brainy McBrainFace,Not
R_Ig_ROI,Somatomotor,Not
R_FOP5_ROI,Somatomotor,Not
R_p10p_ROI,Auditory,Not
R_p47r_ROI,Ventral Prefrontal,Not
R_TGv_ROI,Brainy McBrainFace,Not
R_MBelt_ROI,Brainy McBrainFace,Not
R_LBelt_ROI,Somatomotor,Not
R_A4_ROI,Somatomotor + Brainy McBrainFace,Overlapping
R_STSva_ROI,Brainy McBrainFace,Not
R_TE1m_ROI,Somatomotor,Not
R_PI_ROI,Brainy McBrainFace,Not
R_a32pr_ROI,Occipito-temporal,Not
R_p24_ROI,Occipito-temporal,Not
