191,R_V1_ROI
192,R_MST_ROI
193,R_V6_ROI
194,R_V2_ROI
195,R_V3_ROI
196,R_V4_ROI
197,R_V8_ROI
198,R_4_ROI
199,R_3b_ROI
200,R_FEF_ROI
201,R_PEF_ROI
202,R_55b_ROI
203,R_V3A_ROI
204,R_RSC_ROI
205,R_POS2_ROI
206,R_V7_ROI
207,R_IPS1_ROI
208,R_FFC_ROI
209,R_V3B_ROI
210,R_LO1_ROI
211,R_LO2_ROI
212,R_PIT_ROI
213,R_MT_ROI
214,R_A1_ROI
215,R_PSL_ROI
216,R_SFL_ROI
217,R_PCV_ROI
218,R_STV_ROI
219,R_7Pm_ROI
220,R_7m_ROI
221,R_POS1_ROI
222,R_23d_ROI
223,R_v23ab_ROI
224,R_d23ab_ROI
225,R_31pv_ROI
226,R_5m_ROI
227,R_5mv_ROI
228,R_23c_ROI
229,R_5L_ROI
230,R_24dd_ROI
231,R_24dv_ROI
232,R_7AL_ROI
233,R_SCEF_ROI
234,R_6ma_ROI
235,R_7Am_ROI
236,R_7PL_ROI
237,R_7PC_ROI
238,R_LIPv_ROI
239,R_VIP_ROI
240,R_MIP_ROI
241,R_1_ROI
242,R_2_ROI
243,R_3a_ROI
244,R_6d_ROI
245,R_6mp_ROI
246,R_6v_ROI
247,R_p24pr_ROI
248,R_33pr_ROI
249,R_a24pr_ROI
250,R_p32pr_ROI
251,R_a24_ROI
252,R_d32_ROI
253,R_8BM_ROI
254,R_p32_ROI
255,R_10r_ROI
256,R_47m_ROI
257,R_8Av_ROI
258,R_8Ad_ROI
259,R_9m_ROI
260,R_8BL_ROI
261,R_9p_ROI
262,R_10d_ROI
263,R_8C_ROI
264,R_44_ROI
265,R_45_ROI
266,R_47l_ROI
267,R_a47r_ROI
268,R_6r_ROI
269,R_IFJa_ROI
270,R_IFJp_ROI
271,R_IFSp_ROI
272,R_IFSa_ROI
273,R_p9-46v_ROI
274,R_46_ROI
275,R_a9-46v_ROI
276,R_9-46d_ROI
277,R_9a_ROI
278,R_10v_ROI
279,R_a10p_ROI
280,R_10pp_ROI
281,R_11l_ROI
282,R_13l_ROI
283,R_OFC_ROI
284,R_47s_ROI
285,R_LIPd_ROI
286,R_6a_ROI
287,R_i6-8_ROI
288,R_s6-8_ROI
289,R_43_ROI
290,R_OP4_ROI
291,R_OP1_ROI
292,R_OP2-3_ROI
293,R_52_ROI
294,R_RI_ROI
295,R_PFcm_ROI
296,R_PoI2_ROI
297,R_TA2_ROI
298,R_FOP4_ROI
299,R_MI_ROI
300,R_Pir_ROI
301,R_AVI_ROI
302,R_AAIC_ROI
303,R_FOP1_ROI
304,R_FOP3_ROI
305,R_FOP2_ROI
306,R_PFt_ROI
307,R_AIP_ROI
308,R_EC_ROI
309,R_PreS_ROI
310,R_H_ROI
311,R_ProS_ROI
312,R_PeEc_ROI
313,R_STGa_ROI
314,R_PBelt_ROI
315,R_A5_ROI
316,R_PHA1_ROI
317,R_PHA3_ROI
318,R_STSda_ROI
319,R_STSdp_ROI
320,R_STSvp_ROI
321,R_TGd_ROI
322,R_TE1a_ROI
323,R_TE1p_ROI
324,R_TE2a_ROI
325,R_TF_ROI
326,R_TE2p_ROI
327,R_PHT_ROI
328,R_PH_ROI
329,R_TPOJ1_ROI
330,R_TPOJ2_ROI
331,R_TPOJ3_ROI
332,R_DVT_ROI
333,R_PGp_ROI
334,R_IP2_ROI
335,R_IP1_ROI
336,R_IP0_ROI
337,R_PFop_ROI
338,R_PF_ROI
339,R_PFm_ROI
340,R_PGi_ROI
341,R_PGs_ROI
342,R_V6A_ROI
343,R_VMV1_ROI
344,R_VMV3_ROI
345,R_PHA2_ROI
346,R_V4t_ROI
347,R_FST_ROI
348,R_V3CD_ROI
349,R_LO3_ROI
350,R_VMV2_ROI
351,R_31pd_ROI
352,R_31a_ROI
353,R_VVC_ROI
354,R_25_ROI
355,R_s32_ROI
356,R_pOFC_ROI
357,R_PoI1_ROI
358,R_Ig_ROI
359,R_FOP5_ROI
360,R_p10p_ROI
361,R_p47r_ROI
362,R_TGv_ROI
363,R_MBelt_ROI
364,R_LBelt_ROI
365,R_A4_ROI
366,R_STSva_ROI
367,R_TE1m_ROI
368,R_PI_ROI
369,R_a32pr_ROI
370,R_p24_ROI
371,R_striatum_1
372,R_striatum_2
373,R_striatum_3
374,R_thalamus_1
375,R_thalamus_2
376,R_thalamus_3
377,R_thalamus_4
378,R_thalamus_5
379,R_thalamus_6
380,R_thalamus_7
